2018-10-25 15:43:21.819 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.6.Final}
2018-10-25 15:43:21.843 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2018-10-25 15:43:22.332 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2018-10-25 15:43:23.554 [main] WARN  org.hibernate.orm.connections.pooling - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2018-10-25 15:43:23.567 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/zy_rims?useSSL=false&serverTimezone=UTC]
2018-10-25 15:43:23.567 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001001: Connection properties: {user=root, password=root}
2018-10-25 15:43:23.568 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001003: Autocommit mode: false
2018-10-25 15:43:23.571 [main] INFO  org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl - HHH000115: Hibernate connection pool size: 20 (min=1)
2018-10-25 15:43:23.762 [main] WARN  org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator - HHH000342: Could not obtain connection to query metadata : null
2018-10-25 15:43:23.788 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2018-10-25 15:43:23.817 [main] INFO  org.hibernate.engine.jdbc.env.internal.LobCreatorBuilderImpl - HHH000422: Disabling contextual LOB creation as connection was null
2018-10-25 15:43:23.829 [main] WARN  org.hibernate.engine.jdbc.spi.SqlExceptionHelper - SQL Error: 0, SQLState: 08001
2018-10-25 15:43:23.829 [main] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper - Public Key Retrieval is not allowed
2018-10-25 15:48:16.452 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.6.Final}
2018-10-25 15:48:16.454 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2018-10-25 15:48:16.862 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2018-10-25 15:48:18.026 [main] WARN  org.hibernate.orm.connections.pooling - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2018-10-25 15:48:18.031 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/zy_rims?useSSL=false&serverTimezone=UTC]
2018-10-25 15:48:18.032 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001001: Connection properties: {user=root, password=root}
2018-10-25 15:48:18.032 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001003: Autocommit mode: false
2018-10-25 15:48:18.035 [main] INFO  org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl - HHH000115: Hibernate connection pool size: 20 (min=1)
2018-10-25 15:48:18.165 [main] WARN  org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator - HHH000342: Could not obtain connection to query metadata : null
2018-10-25 15:48:18.177 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2018-10-25 15:48:18.194 [main] INFO  org.hibernate.engine.jdbc.env.internal.LobCreatorBuilderImpl - HHH000422: Disabling contextual LOB creation as connection was null
2018-10-25 15:48:18.203 [main] WARN  org.hibernate.engine.jdbc.spi.SqlExceptionHelper - SQL Error: 0, SQLState: 08001
2018-10-25 15:48:18.203 [main] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper - Public Key Retrieval is not allowed
2018-10-25 15:53:04.874 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.6.Final}
2018-10-25 15:53:04.878 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2018-10-25 15:53:05.324 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2018-10-25 15:53:06.475 [main] WARN  org.hibernate.orm.connections.pooling - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2018-10-25 15:53:06.481 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/zy_rims?useSSL=false&serverTimezone=UTC]
